"ADRESA","ADRESARAW","LOCALITATE","NUME"
"strada văleni nr. 48, jud. prahova","STR. VĂLENI NR. 48, JUD. PRAHOVA","PLOIEŞTI","FRAŢIAN IRIS-VICTORIA"
"strada străpungere silvestru, nr. 7, bl. i, sc. d, parter","STR STRĂPUNGERE SILVESTRU, NR. 7, BL. I, SC. D, PARTER","IAŞI","FROST EDOARDO LEVINOS"
"strada piaţa unirii, nr. 67","STR. PIAŢA UNIRII, NR. 67","RĂDĂUŢI","FRUNZĂ CARMEN-VASILICA"
" calea dorobanţilor, nr.25, ap.35, jud. cluj"," CALEA DOROBANŢILOR, Nr.25, Ap.35, JUD. CLUJ","CLUJ-NAPOCA","FUCHS ROZA-MARGIT"
"calea dorobanţilor nr. 25, et. 1, ap. 35, jud. cluj","CLUJ-NAPOCA, CALEA DOROBANŢILOR NR. 25, ET. 1, AP. 35, JUD. CLUJ","CLUJ-NAPOCA","FUCHS TUNDE"
"strada libertăţii, nr. 48, jud. cluj","STR. LIBERTĂŢII, NR. 48, JUD. CLUJ","APAHIDA","FURDUI HORIA-AUGUSTIN"
"calea bucureşti nr. 7, sc. 1, ap. 2, parter","CALEA BUCUREŞTI NR. 7, SC. 1, AP. 2, PARTER","CRAIOVA","FURTUNĂ SIMONA"
"strada octavian paler, bl. 15, sc. a, ap. 3","STR. OCTAVIAN PALER, BL. 15, SC. A, AP. 3","FĂGĂRAŞ","GABOR CONSTANTIN-AURELIAN"
"strada aurel lazar, nr.6, ap.3","STR. AUREL LAZAR, Nr.6, Ap.3","ORADEA","GABOR DANIELA"
"calea moşilor nr. 294, bl. 42, sc. b, et. 1, ap. 43, sector 2","CALEA MOŞILOR NR. 294, BL. 42, SC. B, ET. 1, AP. 43, SECTOR 2","BUCURESTI","GABURA MARIA"
"strada blajului nr. 3","STR. BLAJULUI NR. 3","ARAD","GAGEA LAURA NICOLETA"
"bulevardul 9 mai nr. 21, bl. b11, sc. b, ap. 22, parter","B-DUL 9 MAI NR. 21, BL. B11, SC. B, AP. 22, PARTER","PIATRA NEAMT","GALAŢANU DOINA"
"isaccei, nr.15, bl.i5a, sc.c, ap. 1 şi 3","ISACCEI, NR.15, Bl.I5A, SC.C, Ap. 1 ŞI 3","TULCEA","GÂLCĂ ANA"
"strada siderurgiştilor, bl. ps1b, tronson 1, parter","STR. SIDERURGIŞTILOR, BL. PS1B, TRONSON 1, PARTER","GALAŢI","GÂLCĂ-IFRIM ANDREEA-CORINA"
"strada ştefan mihăileanu, nr. 28b, et.2, ap. 7, sector 2","STR. ŞTEFAN MIHĂILEANU, NR. 28B, ET.2, AP. 7, SECTOR 2","BUCURESTI","GALPERIN-ŞAIMOVICI MARINELA NATALIA"
"strada al. cazaban, nr. 55, bl. pb55, ap. 3","STR. AL. CAZABAN, NR. 55, BL. PB55, AP. 3","ORADEA","GARBA CORNEL"
"strada piaţa libertăţii, nr. 1-3, jud. bihor","STR. PIAŢA LIBERTĂŢII, NR. 1-3, JUD. BIHOR","SALONTA","GARBA CORNEL"
"strada bogdan gragoş nr. 33","STR. BOGDAN GRAGOŞ NR. 33","ROMAN","GÂRBEA FLORIN"
"bulevardul iuliu maniu nr. 71, bl. 4, sc. 5, parter, ap. 191, sector 6 ","B-DUL IULIU MANIU NR. 71, BL. 4, SC. 5, PARTER, AP. 191, SECTOR 6 ","BUCURESTI","GARTIG TAMARA"
"victoriei, nr.46","VICTORIEI, Nr.46","BAILESTI","GAŞPAR MONICA-ORTANSA"
"strada principală nr. 619 a","STR. PRINCIPALĂ NR. 619 A","LIEŞTI","GAUBE ODRIN NARCIS"
"jud. buzău","PĂTÂRLAGELE, JUD. BUZĂU","PĂTÂRLAGELE","GAVRILĂ LILIANA-AURA"
"brestei, nr.16","BRESTEI, Nr.16","CRAIOVA","GĂGEATU ILIE"
"strada stephan ludwig roth nr. 18, sc. c, ap. 28 şi 29","STR. STEPHAN LUDWIG ROTH NR. 18, SC. C, AP. 28 ŞI 29","MEDIAŞ","GĂITAN IOANA-CRISTINA"
"strada i. gh. duca nr. 32, et. 1","STR. I. GH. DUCA NR. 32, ET. 1","CONSTANŢA","GEAMALINGA NICOLETA-RAINA"
"strada sucevei, nr. 61,, ap. 7-8, jud. bihor","STR. SUCEVEI, NR. 61,, AP. 7-8, JUD. BIHOR","ORADEA","GEAMBAŞU DIANA"
"strada c.a. rosettti, nr. 7, parter, ap. 1, sector 1","STR. C.A. ROSETTTI, NR. 7, PARTER, AP. 1, SECTOR 1","BUCURESTI","GEORGESCU GABRIELA"
"strada republicii, nr.131","STR.Republicii, Nr.131","PITEŞTI","GEORGESCU ION"
"soseaua ştefan cel mare, nr.1-3, bl.perla, sc.1, ap.9, sectorul 1","ŞOS.ŞTEFAN CEL MARE, Nr.1-3, Bl.PERLA, Sc.1, Ap.9, Sectorul 1","BUCURESTI","GEORGESCU LIDIA"
"strada drumul taberei, nr. 85, bl. ts8, sc.1, ap. 5, parter, sector 6","STR. DRUMUL TABEREI, NR. 85, BL. TS8, SC.1, AP. 5, PARTER, SECTOR 6","BUCUREŞTI","GEORGESCU RĂZVAN"
"strada dragoş-vodă, nr. 8, jud. cluj","GHERLA, STR. DRAGOŞ-VODĂ, NR. 8, JUD. CLUJ","GHERLA","GEORZA MARIUS"
"domnească, nr.37","DOMNEASCĂ, Nr.37","GALATI","GHECENCO ELISABETA"
"strada 1 mai, nr. 21, jud. galaţi","STR. 1 MAI, NR. 21, JUD. GALAŢI","TARGU BUJOR","GHECENCO LAURA"
"strada nationala nr. 96, parter jud. constanta","OVIDIU, STR. NATIONALA NR. 96, PARTER JUD. CONSTANTA","OVIDIU","GHEORGHE ALINA"
"strada mare, nr. 54","STR. MARE, NR. 54","LUMINA","GHEORGHE ALINA"
"bulevardul dacia nr. 14, et. 2, ap. 8, sector 1","B-DUL DACIA NR. 14, ET. 2, AP. 8, SECTOR 1","BUCUREŞTI","GHEORGHE ALINA"
"strada mihai eminescu, nr. 14","STR. MIHAI EMINESCU, NR. 14","TUNARI","GHEORGHE IULIANA"
"soseaua giurgiului, nr.124, bl.6, sc.6, ap.162, sectorul 4","Şos. Giurgiului, Nr.124, Bl.6, Sc.6, Ap.162, Sectorul 4","BUCURESTI","GHEORGHEVICI ELENA DENIS"
"strada principală nr. 2","STR. PRINCIPALĂ NR. 2","CLINCENI","GHEORGHIU RAMONA"
"strada republicii, nr.36, jud. mureş","STR. REPUBLICII, Nr.36, JUD. MUREŞ","LUDUŞ","GHERMAN PETRU"
"strada tineretului nr. 4","STR. TINERETULUI NR. 4","ONEŞTI","GHIHANIŞ DIDEL"
"strada 1 decembrie 1918, nr. 17, jud. splaj","STR. 1 DECEMBRIE 1918, NR. 17, JUD. SPLAJ","ŞIMLEUL SILVANIEI","GHILE GAVRILĂ"
"strada memorandumului nr. 8, et. 1, ap. 8-9","STR. MEMORANDUMULUI NR. 8, ET. 1, AP. 8-9","Cluj-Napoca","GHILE-BUZAN GABRIELA-RODICA"
"strada carpaţilor nr. 1, bl. s3, sc. a, ap. 2","STR. CARPAŢILOR NR. 1, BL. S3, SC. A, AP. 2","BRAŞOV","GHIMBĂŞAN MARIA"
"strada carpaţilor nr. 1, bl. s3, sc. a, ap. 2 ","STR. CARPAŢILOR NR. 1, BL. S3, SC. A, AP. 2 ","BRAŞOV","GHIMBĂŞAN MARIA"
"bulevardul mamaia nr. 138","B-DUL MAMAIA NR. 138","CONSTANTA","GHIMPEŢEANU ALINA"
"strada camil ressu, nr.47, bl.n9, sc.1, ap.2, sectorul 3","STR. Camil Ressu, Nr.47, Bl.N9, Sc.1, Ap.2, Sectorul 3","BUCURESTI","GHIŢĂ ROZALINDA MARIANA CAMELIA"
"strada edgar qinet, nr.3, ap.7, sectorul 1","STR. EDGAR QINET, Nr.3, Ap.7, Sectorul 1","BUCURESTI","GHIZDAVĂŢ-VOROVENCI ANA-CARINA"
"strada victoriei nr. 113","STR. VICTORIEI NR. 113","BĂILEŞTI","GIURCAN GABRIELA"
"strada victoriei nr. 113","STR. VICTORIEI NR. 113","BĂILEŞTI","GIURCAN TITU"
"strada libertăţii nr. 1, jud. dâmboviţa","STR. LIBERTĂŢII NR. 1, JUD. DÂMBOVIŢA","PUCIOASA","GIURESCU ANGELICA"
"fantanelor, bl.2, sc.c","Fantanelor, Bl.2, Sc.C","PUCIOASA","GIURESCU DUMITRU"
"strada p-ţa independenţei, nr. 1-3","STR. P-ŢA INDEPENDENŢEI, NR. 1-3","SALONTA","GIURGINCĂ ION"
"strada republicii, nr. 3","STR. REPUBLICII, NR. 3","VALEA LUI MIHAI","GIURGINCĂ ION"
"ale. trandafirilor bl. 12","ALE. TRANDAFIRILOR BL. 12","NEGREŞTI-OAŞ","GIUROESCU RADU -MAZEN"
"strada sf. elefterie, nr.46, parter, ap. 1, sector 5","STR. SF. ELEFTERIE, NR.46, PARTER, AP. 1, SECTOR 5","BUCUREŞTI","GOGOLAN RAREŞ-IONUŢ "
"strada lt. av. radu beller nr. 37, et. 1, ap. 4, sector 1","STR. LT. AV. RADU BELLER NR. 37, ET. 1, AP. 4, SECTOR 1","BUCURESTI","GOGONEAŢĂ ELISABETA"
"calea bucuresti, nr.107, bl. p31, parter","CALEA BUCURESTI, Nr.107, BL. P31, PARTER","TOPOLOVENI","GOJGĂREA GHEORGHIŢA"
"proclamauia de la timioara","PROCLAMAUIA DE LA TIMIOARA","TIMISOARA","GOLBAN-CURUŢI MARIANA"
"calea lugojului, nr.30","CALEA LUGOJULUI, Nr.30","FĂGET","GOLUMBU SORINA - MARIA"
" strada republicii, nr.4"," Str. Republicii, Nr.4","ORADEA","GONDOSCH BETTY"
"strada mihail kogălniceanu, nr. 23, bl. c7, parter 1","STR. MIHAIL KOGĂLNICEANU, NR. 23, BL. C7, PARTER 1","BRAŞOV","GONŢEA ION"
"bulevardul 15 noiembrie, nr.41","bdl. 15 Noiembrie, Nr.41","SĂCELE","GONŢEA ION"
"regele ferdinand, nr.5, bl.b 1, ap.22","Regele Ferdinand, Nr.5, Bl.B 1, Ap.22","CLUJ-NAPOCA","GORUN HORACIUS-TONY"
"negru vodă, nr.117, sc.c","NEGRU VODĂ, Nr.117, Sc.C","CURTEA DE ARGEŞ","GRANCIU AUREL"
"tache ionescu, nr.6, ap.5","TACHE IONESCU, Nr.6, Ap.5","TIMISOARA","GRAUR ELISABETA"
"strada trandafirilor nr. 101","STR. TRANDAFIRILOR NR. 101","BEREŞTI","GRĂDINARU OANA-ANDREEA"
"strada verii, nr. 8","STR. VERII, NR. 8","BRAŞOV","GRĂMADĂ ANTONIU-GHEORGHE"
"luceafarului nr.13, bl.60, sc.e, ap.4","LUCEAFARULUI Nr.13, Bl.60, Sc.E, Ap.4","SFINTU GHEORGHE","GRĂMADĂ GHEORGHE"
"strada iancu cavaler de flondor nr. 7, parter, ap. 1, sector 2","STR. IANCU CAVALER DE FLONDOR NR. 7, PARTER, AP. 1, SECTOR 2","BUCUREŞTI","GRECEA ANCA-CRISTINA"
"strada victoriei, bl. d7, parter","STR. VICTORIEI, BL. D7, PARTER","COSTEŞTI","GRECU CARMEN"
"calea victoriei, nr.142, sc.d, ap.2, sectorul 1","CALEA VICTORIEI, Nr.142, Sc.D, Ap.2, Sectorul 1","BUCURESTI","GRECU DANA ELENA"
"eroilor, nr.163","EROILOR, Nr.163","BREZOI","GRESOIU DUMITRU"
"lucian blaga, nr.14, ap.3","LUCIAN BLAGA, Nr.14, Ap.3","TIMISOARA","GREU VIOARA -  LUMINITA"
"strada bogdan vodă nr. 5, ap. 17, jud. maramureş","STR. BOGDAN VODĂ NR. 5, AP. 17, JUD. MARAMUREŞ","SIGHETU MARMAŢIEI","GRIGOR CARMEN-LENUŢA"
"soseaua ştefan cel mare, nr. 38, bl. 30a, sc. 1, et.1, ap. 4, sector 2","ŞOS. ŞTEFAN CEL MARE, NR. 38, BL. 30A, SC. 1, ET.1, AP. 4, SECTOR 2","BUCURESTI","GRIGORE MIHAELA"
"strada soveja nr.66a, bl.o5, parter","STR. Soveja Nr.66A, Bl.O5, PARTER","CONSTANTA","GROSU GEORGE"
"piaţa centrală, nr. 47, jud. - năsăud","PIAŢA CENTRALĂ, NR. 47, JUD. BISTRIŢA- NĂSĂUD","BISTRIŢA","GROZA GABRIEL-SORIN"
"strada rissini nr. 1, et. 1, ap. 1, sector 2","STR. RISSINI NR. 1, ET. 1, AP. 1, SECTOR 2","BUCUREŞTI","GULI MIHAI"
"strada calea bucuresti, bl.m 18 d, parter, jud. dolj","STR. Calea Bucuresti, Bl.M 18 D, PARTER, JUD. DOLJ","CRAIOVA","GUNESCU-TUDOR MARINELA-DANIELA"
"piata trandafirilor, nr.32-33/c, ap.28","PIATA TRANDAFIRILOR, Nr.32-33/C, Ap.28","TÂRGU MUREŞ","GURGHIAN MARIANA"
"strada cezar nr.2","STR. CEZAR NR.2","DROBETA TURNU SEVERIN","GURGUI DIANA"
"cezar, nr.2","CEZAR, Nr.2","DROBETA TURNU SEVERIN","GURGUI VASILE"
"costache racovita, bl.r4, ap.84","COSTACHE RACOVITA, Bl.R4, Ap.84","TECUCI","GURIŢOIU ILINCA"
"general eral magheru, bl. v1, et. 1","GENERAL MAGHERU, BL. V1, ET. 1","RÂMNICU VÂLCEA","GUTĂU CRISTINA-IOANA"
"strada general eral magheru, bl. v1, parter","STR. GENERAL MAGHERU, BL. V1, PARTER","RM. VÂLCEA","GUTĂU MARIANA"
"unirii, nr.6, sc.a, ap.1 si ap. 2 (arhiva)","UNIRII, Nr.6, Sc.A, Ap.1 SI AP. 2 (ARHIVA)","FAGARAS","GYERGYAI MARIANA"
"şoseaua iancului nr. 48, et. 1, camera 13, sector 2","ŞOSEAUA IANCULUI NR. 48, ET. 1, CAMERA 13, SECTOR 2","BUCUREŞTI","HARAGA LIDIA"
"mihai eminescu, nr.53, bl.c1, sc.a, ap.1-2","Mihai Eminescu, Nr.53, Bl.C1, Sc.A, Ap.1-2","PIATRA NEAMT","HARBUZ IRINA"
"strada ştefan cel mare, nr. 45, bl. a1, parter., t22","STR. ŞTEFAN CEL MARE, NR. 45, BL. A1, PARTER., T22","ODOBEŞTI","HARET CĂTĂLIN-MIHAIL"
"strada principală i nr. 152, casa specialistului, parter ","STR. PRINCIPALĂ I NR. 152, CASA SPECIALISTULUI, PARTER ","SURAIA","HARET MIHAELA"
"strada 21 decembrie 1918, nr.16","STR. 21 decembrie 1918, Nr.16","CAREI","HATVANI HAJNAL"
"incinta primăriei","INCINTA PRIMĂRIEI","POPRICANI","HAUCĂ OVIDIU-SERGIU"
"bulevardul traian nr. 5, ap. 58","BD. TRAIAN NR. 5, AP. 58","BAIA MARE","HAUŞI IRINA-SABINA"
"strada ştefan cel mare, bl 15, sc. d, ap. 2","STR. ŞTEFAN CEL MARE, BL 15, SC. D, AP. 2","ROMAN","HAVRICI-TOMŞA DANIELA"
"aleea 22 decembrie, nr. 1, bl. c 29, sc. a, parter","ALEEA 22 DECEMBRIE, NR. 1, BL. C 29, SC. A, PARTER","PAŞCANI","HERKO GABRIELA- LUDWIKA"
"bulevardul griviţei, nr. 88, bl. 12, sc.b, ap. 2, jud. ","BULEVARDUL GRIVIŢEI, NR. 88, BL. 12, SC.B, AP. 2, JUD. BRAŞOV","BRAŞOV","HERMENEANU ADRIANA DANIELA"
"p-ţa 1 decembrie 1918 nr. 11, ap. 2","P-ŢA 1 DECEMBRIE 1918 NR. 11, AP. 2","ZALĂU","HODIŞ ADRIANA-GEORGETA"
"strada războieni nr. 11, sc. a, ap. 3","STR. RĂZBOIENI NR. 11, SC. A, AP. 3","BACAU","HODOROGEA CRISTINA EMILIA"
"strada siderurgiştilor, nr. 34, bl. m/2 a, ap. 22, parter, jud. galaţi ","STR. SIDERURGIŞTILOR, NR. 34, BL. M/2 A, AP. 22, PARTER, JUD. GALAŢI ","GALATI","HOGAŞ CRISTINEL-HORAŢIU"
"strada retezatului nr. 12","STR. RETEZATULUI NR. 12","TÂRGU MUREŞ","HOLBACH ISTVAN"
"strada carol i, nr. 3-5,bl. raeta,sc.a, ap.1, parter","STR. CAROL I, NR. 3-5,BL. RAETA,SC.A, AP.1, PARTER","RÂMNICU VÂLCEA","HOLOHAN DIANA MIHAELA"
"strada trandafirilor, nr. 20, jud. alba","STR. TRANDAFIRILOR, NR. 20, JUD. ALBA","ALBA IULIA","HOMOŞTEAN-MILACIU IOAN-FLORIN"
"sat u vechi nr. 198","SAT TICUŞU VECHI NR. 198","TICUŞ","HOTĂRAN VIOLETA"
"avram iancu, bl.h1, parter, jud. hunedoara","AVRAM  IANCU, Bl.H1, PARTER, JUD. HUNEDOARA","DEVA","HOTOIU IOAN"
"strada cuza vodă, nr.2, bl.7d, sc. c, parter","STR. CUZA VODĂ, Nr.2, Bl.7D, SC. C, PARTER","BOTOŞANI","HUMELNICU COCA"
"strada piaţa unirii, nr. 67","STR. PIAŢA UNIRII, NR. 67","RĂDĂUŢI","HUMENIUC ANCA"
"soseaua mihai bravu nr. 317, bl. sa, sc. a, parter, ap. 4, sector 3","ŞOS. MIHAI BRAVU NR. 317, BL. SA, SC. A, PARTER, AP. 4, SECTOR 3","BUCUREŞTI","IACOB IOANA"
"strada slt. gheorghe ionescu nr. 40, et. 1, sector 4","STR. SLT. GHEORGHE IONESCU NR. 40, ET. 1, SECTOR 4","BUCUREŞTI","IACOB IOANA-CRISTINA"
"soseaua pantelimon nr. 225, bl. 43, parter, sector 2","ŞOS. PANTELIMON NR. 225, BL. 43, PARTER, SECTOR 2","BUCUREŞTI","IACOB LOREDANA-OANA"
"bulevardul 1 decembrie 1918 nr. 18, bl. m8, sc. a, parter, ap. 3","BD. 1 DECEMBRIE 1918 NR. 18, BL. M8, SC. A, PARTER, AP. 3","PITEŞTI","IAGĂRU SĂNDICA-CLAUDIA"
"brailei, nr.18","BRAILEI, Nr.18","INSURATEI","IANCU NICOLETA CRISTINELA"
"piaţa mihail kogălniceanu, nr.1, bl.1, sc.a,et.2,ap. 4, sector 1","PIAŢA MIHAIL KOGĂLNICEANU, NR.1, BL.1, SC.A,ET.2,AP. 4, SECTOR 1","BUCUREŞTI","IFRIM VALERICĂ"
"strada calea naţională nr. 61","STR. CALEA NAŢIONALĂ NR. 61","BUCECEA","IFTIME EMANUELA"
"strada calea aradului, nr. 29, bl. p60, parter","STR. CALEA ARADULUI, NR. 29, BL. P60, PARTER","ORADEA","IGNA GEORGE HORIA"
"strada calea aradului, nr. 29, bl. p60, parter","STR. CALEA ARADULUI, NR. 29, BL. P60, PARTER","ORADEA","IGNA GEORGE HORIA"
"strada parcul traian, nr.13","STR. PARCUL TRAIAN, Nr.13","ORADEA","IGNA GHEORGHE"
"bulevardul cosminului, bl.bn1, sc.a, ap.4, parter","B-dul Cosminului, Bl.BN1, Sc.A, Ap.4, PARTER","SLOBOZIA","IGNAT GABRIELA CORNELIA"
"strada tineretului nr. 4","STR. TINERETULUI NR. 4","ONEŞTI","IGNAT LIDIA-CRISTINA"
"pictor ghe.patrascu, nr.53, bl.pm, sc.a, ap.4, sectorul 3","Pictor Ghe.Patrascu, Nr.53, Bl.PM, Sc.A, Ap.4, Sectorul 3","BUCURESTI","ILIE ADINA DOINA"
"calea călăraşilor nr. 177, bl. 45, et. 3, ap. 7, sector 3","CALEA CĂLĂRAŞILOR NR. 177, BL. 45, ET. 3, AP. 7, SECTOR 3","BUCUREŞTI","ILIE ADRIANA"
"bulevardul 1 decembrie 1918 nr. 6, bl. 22, sc. a, parter, ap. 21","BD. 1 DECEMBRIE 1918 NR. 6, BL. 22, SC. A, PARTER, AP. 21","SUCEAVA","ILIE DELIA"
"bulevardul magheru , nr.43, ap.23, sectorul 1","Bd.MAGHERU , Nr.43, Ap.23, Sectorul 1","BUCURESTI","ILIE LAURA MARCELA"
"aleea trandafirilor, nr.10, bl.10, sc.a, ap.1","ALEEA TRANDAFIRILOR, Nr.10, Bl.10, Sc.A, Ap.1","SUCEAVA","ILIE VALERIANA"
"strada dezrobirii nr. 1d","STR. DEZROBIRII NR. 1D","CRAIOVA","ILIE VICTOR FLOREA"
"strada avionului nr. 1, bl. 5c, parter, sc. 1, ap. 1, sector 1","STR. AVIONULUI NR. 1, BL. 5C, PARTER, SC. 1, AP. 1, SECTOR 1","BUCUREŞTI","ILIESCU DAN"
"strada banu manta, nr. 75, parter, sector 1","STR. BANU MANTA, NR. 75, PARTER, SECTOR 1","BUCUREŞTI","ILIESCU DAN"
"calea bucureşti, bl. o1, parter","CALEA BUCUREŞTI, BL. O1, PARTER","TÂRGOVIŞTE","ILIESCU FLOAREA"
"strada mareşal averescu, nr. 3","STR. MAREŞAL AVERESCU, NR. 3","DROBETA-TURNU SEVERIN","ILINCA AMELIA-MARTA"
"bulevardul carol i nr. 85, bl. a2, sc. 1, parter, ap. 1","Bld. CAROL I NR. 85, BL. A2, SC. 1, PARTER, AP. 1","Drobeta Turnu Severin","ILINCA AMELIA-MARTA"
"strada 1 decembrie 1918, bl.92, parter, jud. hunedoara","STR. 1 DECEMBRIE 1918, BL.92, PARTER, JUD. HUNEDOARA","PETROSANI","ILINCA GEORGETA"
"strada călăraşi, nr.12, sc.a, ap.3","STR. CĂLĂRAŞI, Nr.12, Sc.A, Ap.3","SEBES  ","ILIŞESCU SILVIA"
"strada mareşal alexandru averescu, nr. 55, ap. 2","STR. MAREŞAL ALEXANDRU AVERESCU, NR. 55, AP. 2","TIMISOARA","INCZE EDIT"
"strada transilvaniei, nr. 2, bl.u3","STR. TRANSILVANIEI, NR. 2, BL.U3","ORADEA","INDRIEŞ PATRICIA- TEODORA"
"calea bucureşti, bl.od4, ap.3","Calea Bucureşti, Bl.OD4, Ap.3","URZICENI","ION TRAIAN"
"intr. sergeneral t tancu ion, nr. 6, sector 2, ","INTR. SERGENT TANCU ION, NR. 6, SECTOR 2, ","BUCUREŞTI","ION VALERICA - IONELA"
"strada principală nr. 27","STR. PRINCIPALĂ NR. 27","COSTINEŞTI","IONAŞCU AURELIA"
"bulevardul tomis, nr. 275, bl. t5, sc. a, ap. 1, parter","BD. TOMIS, NR. 275, BL. T5, SC. A, AP. 1, PARTER","Constanţa","IONAŞCU COSMIN-CORNELIU"
"bulevardul tomis, nr. 275, bl. t5, sc. a, ap. 1, parter","BD. TOMIS, NR. 275, BL. T5, SC. A, AP. 1, PARTER","CONSTANŢA","IONAŞCU COSMIN-CORNELIU"
"bulevardul ştirbei vodă nr. 19, bl. d3a, parter","B-DUL ŞTIRBEI VODĂ NR. 19, BL. D3A, PARTER","CRAIOVA","IONAŞCU NICOLAE"
"eroilor, nr.1","EROILOR, Nr.1","TIRGU JIU","IONAŞCU TITU"
"strada republicii nr. 47, parter","STR. REPUBLICII NR. 47, PARTER","CASTELU","IONESCU CIPRIAN-CRIŞAN"
"traian, bl.b2, ap.2","TRAIAN, Bl.B2, Ap.2","GALATI","IONESCU CORNELIA"
"strada capitan creţu florin, nr. 23, et. 2, ap. 8, ","STR. CPT. CREŢU FLORIN, NR. 23, ET. 2, AP. 8, ","FOCŞANI","IONESCU CRISTI-ŞTEFANIA"
" strada constanţei, nr. 2"," STR. CONSTANŢEI, NR. 2","PLOIEŞTI","IONESCU DIANA-CRISTINA"
"strada fraţii goleşti, nr. 20b","STR. FRAŢII GOLEŞTI, NR. 20B","CÂMPULUNG","IONESCU IULIA"
"intrarea bârsei, nr. 8, bl. g6, sc. 1, ap. 1, sector 3","INTRAREA BÂRSEI, NR. 8, BL. G6, SC. 1, AP. 1, SECTOR 3","BUCURESTI","IONESCU MARIA"
"nicolae titulescu, nr.35c","Nicolae Titulescu, Nr.35C","BACĂU","IONESCU MIRCEA"
"bulevardul i.s. sturza nr. 17","BD. I.S. STURZA NR. 17","BACĂU","IONESCU VLAD-AURELIAN"
"strada olteţ bl. i j k, sc. 3, ap. 5","STR. OLTEŢ BL. I J K, SC. 3, AP. 5","CRAIOVA","IONICĂ VERGICA"
"strada mihai eminescu, nr.12, bl.b5, sc. b, ap.24, parter","str. Mihai Eminescu, Nr.12, Bl.B5, Sc. B, Ap.24, parter","PIATRA NEAMT","IONIŢĂ ANA"
"şoseaua naţională, nr. 74, et.1","ŞOSEAUA NAŢIONALĂ, NR. 74, ET.1","OVIDIU","IONIŢĂ CRISTINA"
"strada unirii, bl. e2, sc. b, parter","STR. UNIRII, BL. E2, SC. B, PARTER","NEGREŞTI","IONIŢI MARIETA"
"soseaua colentina nr. 2d, bl. 5, sc. b, et. 1, ap. 37, sector 2","ŞOS. COLENTINA NR. 2D, BL. 5, SC. B, ET. 1, AP. 37, SECTOR 2","BUCUREŞTI","ION-PETRACHE RAMONA-ELENA"
"calea călăraşilor nr. 181, bl. 50, parter, sector 3","CALEA CĂLĂRAŞILOR NR. 181, BL. 50, PARTER, SECTOR 3","BUCUREŞTI","ION-ZAMFIRESCU CRISTINA"
"strada av. radu beller nr. 22, et. 2 (ap. 3 şi 4) şi et. 3 (ap. 5 şi 6), sector 1","STR. AV. RADU BELLER NR. 22, ET. 2 (AP. 3 ŞI 4) ŞI ET. 3 (AP. 5 ŞI 6), SECTOR 1","BUCUREŞTI","ION-ZAMFIRESCU REMUS"
"strada octav onicescu, nr. 67, bl. 67, sc. c, parter, jud. suceava","STR. OCTAV ONICESCU, NR. 67, BL. 67, SC. C, PARTER, JUD. SUCEAVA","BOTOŞANI","IORDACHE CRISTINA-CARMEN"
"bulevardul gheorghe şincai nr. 9a, bl. 3a, sc. 1, et. 1, ap. 2, sector 4","B-DUL GHEORGHE ŞINCAI NR. 9A, BL. 3A, SC. 1, ET. 1, AP. 2, SECTOR 4","BUCUREŞTI","IORDACHE IULIA"
"strada londra, nr. 18, parter, ap. 6, sector 1","STR. LONDRA, NR. 18, PARTER, AP. 6, SECTOR 1","BUCUREŞTI","IORDACHE MIRCEA CONSTANTIN"
"strada republicii, f.n., ap. 1 şi 5","STR. REPUBLICII, F.N., AP. 1 ŞI 5","FĂLTICENI","IORDACHE RALUCA-ANDREA"
"bulevardul tomis, nr. 44-46","B-DUL TOMIS, NR. 44-46","CONSTANTA","IORDAN GHEORGHE"
"strada republicii,nr. 24,et. 1,","STR. REPUBLICII,NR. 24,ET. 1,","TURDA","IORDĂNESCU DAN"
"strada , brancovici, nr. 14, sc. a, ap. 6","STR, BRANCOVICI, NR. 14, SC. A, AP. 6","LIPOVA","IORGA ADRIANA"
"bulevardul unirii nr. 18, bl. 5b, sc. 2, et. 5ap. 40, sector 4","B-DUL UNIRII NR. 18, BL. 5B, SC. 2, ET. 5AP. 40, SECTOR 4","BUCURESTI","IORGOVAN  NICULINA"
"soseaua ştefăneşti, nr. 55c","ŞOS. ŞTEFĂNEŞTI, NR. 55C","ŞTEFĂNEŞTII DE JOS","IOSEP CRISTINA-MIHAELA"
"mircea cel bătrân, nr.86, bl.mf2, sc.a, ap.5","MIRCEA CEL BĂTRÂN, Nr.86, Bl.MF2, Sc.A, Ap.5","CONSTANTA","IOSIF MARIANA"
"dunării, nr.218, bl.trb4, sc.a, ap.1","DUNĂRII, Nr.218, Bl.TRB4, Sc.A, Ap.1","ALEXANDRIA","IOTE ELENA"
"soseaua giurgiului, nr. 117, bl. 4, sc. 8, ap. 225 şi 228, sector 4","ŞOS. GIURGIULUI, NR. 117, BL. 4, SC. 8, AP. 225 ŞI 228, SECTOR 4","BUCUREŞTI","IOVA CLAUDIA-ELENA"
"strada banca naţională nr. 46, sc. a, ap. 1, parter","STR. BANCA NAŢIONALĂ NR. 46, SC. A, AP. 1, PARTER","BACĂU","IRIMIA MARIA-CĂTĂLINA"
"nr. 192","FRUMUŞIŢA, NR. 192","FRUMUŞIŢA","IRIMIA PETRIŞOR GABRIEL"
